Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date,PMIS - Total Customer Throughput (Unadjusted)
1603,,18:00:00,,22,Sunday,,,2019-06-02,13.0
1604,,06:00:00,,22,Thursday,2018-05-31,1.0,,
1605,,08:00:00,,22,Thursday,2018-05-31,1.0,,
1606,,10:00:00,,22,Thursday,,,2019-05-30,6.0
1607,,11:00:00,,22,Thursday,2018-05-31,7.0,2019-05-30,3.0
1608,,12:00:00,,22,Thursday,2018-05-31,2.0,2019-05-30,2.0
1609,,14:00:00,,22,Thursday,2018-05-31,2.0,,
1610,,15:00:00,,22,Thursday,,,2019-05-30,2.0
1611,,16:00:00,,22,Thursday,2018-05-31,5.0,2019-05-30,2.0
1612,,18:00:00,,22,Thursday,2018-05-31,4.0,,
1613,,20:00:00,,22,Thursday,2018-05-31,2.0,2019-05-30,8.0
1614,,21:00:00,,22,Thursday,2018-05-31,1.0,,
1615,2017-05-30,05:00:00,1.0,22,Tuesday,,,,
1616,,06:00:00,,22,Tuesday,,,2019-05-28,2.0
1617,2017-05-30,07:00:00,4.0,22,Tuesday,,,,
1618,,09:00:00,,22,Tuesday,,,2019-05-28,2.0
1619,,10:00:00,,22,Tuesday,,,2019-05-28,2.0
1620,,11:00:00,,22,Tuesday,2018-05-29,1.0,2019-05-28,2.0
1621,,13:00:00,,22,Tuesday,2018-05-29,1.0,,
1622,,14:00:00,,22,Tuesday,,,2019-05-28,10.0
1623,,15:00:00,,22,Tuesday,,,2019-05-28,2.0
1624,2017-05-30,16:00:00,4.0,22,Tuesday,,,2019-05-28,2.0
1625,2017-05-30,17:00:00,4.0,22,Tuesday,,,,
1626,,18:00:00,,22,Tuesday,2018-05-29,6.0,,
1627,,21:00:00,,22,Tuesday,2018-05-29,4.0,2019-05-28,2.0
1628,,09:00:00,,22,Wednesday,,,2019-05-29,1.0
1629,,10:00:00,,22,Wednesday,,,2019-05-29,4.0
1630,,11:00:00,,22,Wednesday,,,2019-05-29,2.0
1631,,12:00:00,,22,Wednesday,2018-05-30,2.0,2019-05-29,3.0
1632,,13:00:00,,22,Wednesday,2018-05-30,2.0,,
1633,,14:00:00,,22,Wednesday,2018-05-30,2.0,,
1634,,15:00:00,,22,Wednesday,,,2019-05-29,2.0
1635,,16:00:00,,22,Wednesday,2018-05-30,6.0,2019-05-29,5.0
1636,,17:00:00,,22,Wednesday,,,2019-05-29,3.0
1637,,18:00:00,,22,Wednesday,,,2019-05-29,2.0
1638,,19:00:00,,22,Wednesday,,,2019-05-29,4.0
1639,,05:00:00,,23,Friday,2018-06-08,1.0,2019-06-07,3.0
1640,,06:00:00,,23,Friday,,,2019-06-07,5.0
1641,,07:00:00,,23,Friday,,,2019-06-07,2.0
1642,,08:00:00,,23,Friday,2018-06-08,1.0,,
1643,,09:00:00,,23,Friday,,,2019-06-07,2.0
1644,,10:00:00,,23,Friday,2018-06-08,3.0,2019-06-07,5.0
1645,,11:00:00,,23,Friday,2018-06-08,3.0,2019-06-07,8.0
1646,,12:00:00,,23,Friday,,,2019-06-07,3.0
1647,,13:00:00,,23,Friday,2018-06-08,3.0,2019-06-07,1.0
1648,,14:00:00,,23,Friday,,,2019-06-07,8.0
1649,,15:00:00,,23,Friday,,,2019-06-07,6.0
1650,,16:00:00,,23,Friday,,,2019-06-07,8.0
1651,,17:00:00,,23,Friday,,,2019-06-07,6.0
1652,,18:00:00,,23,Friday,2018-06-08,2.0,,
1653,,19:00:00,,23,Friday,,,2019-06-07,3.0
1654,,20:00:00,,23,Friday,2018-06-08,4.0,2019-06-07,1.0
1655,,06:00:00,,23,Monday,,,2019-06-03,2.0
1656,,07:00:00,,23,Monday,,,2019-06-03,4.0
1657,,09:00:00,,23,Monday,,,2019-06-03,3.0
1658,,10:00:00,,23,Monday,,,2019-06-03,2.0
1659,,11:00:00,,23,Monday,,,2019-06-03,3.0
1660,,14:00:00,,23,Monday,,,2019-06-03,4.0
1661,,15:00:00,,23,Monday,2018-06-04,1.0,2019-06-03,2.0
1662,,16:00:00,,23,Monday,,,2019-06-03,1.0
1663,,17:00:00,,23,Monday,,,2019-06-03,2.0
1664,,19:00:00,,23,Monday,2018-06-04,1.0,,
1665,,20:00:00,,23,Monday,2018-06-04,1.0,,
1666,,07:00:00,,23,Saturday,2018-06-09,1.0,2019-06-08,3.0
1667,,08:00:00,,23,Saturday,,,2019-06-08,2.0
1668,,09:00:00,,23,Saturday,2018-06-09,2.0,,
1669,,11:00:00,,23,Saturday,,,2019-06-08,5.0
1670,,12:00:00,,23,Saturday,,,2019-06-08,1.0
1671,,13:00:00,,23,Saturday,,,2019-06-08,1.0
1672,,14:00:00,,23,Saturday,2018-06-09,4.0,,
1673,,15:00:00,,23,Saturday,2018-06-09,2.0,,
1674,,18:00:00,,23,Saturday,2018-06-09,7.0,,
1675,,11:00:00,,23,Sunday,,,2019-06-09,9.0
1676,,12:00:00,,23,Sunday,,,2019-06-09,1.0
1677,,13:00:00,,23,Sunday,,,2019-06-09,4.0
1678,,14:00:00,,23,Sunday,2018-06-10,10.0,,
1679,2017-06-11,15:00:00,4.0,23,Sunday,,,2019-06-09,4.0
1680,,16:00:00,,23,Sunday,2018-06-10,9.0,2019-06-09,7.0
1681,,17:00:00,,23,Sunday,2018-06-10,3.0,,
1682,,19:00:00,,23,Sunday,,,2019-06-09,1.0
1683,2017-06-11,21:00:00,1.0,23,Sunday,2018-06-10,2.0,2019-06-09,2.0
1684,,07:00:00,,23,Thursday,2018-06-07,5.0,,
1685,,09:00:00,,23,Thursday,,,2019-06-06,2.0
